number,citation_key,type,title,authors_or_org,year,venue_or_publisher,doi,url,manuscript_role,local_copy,access_notes
1,nvidia_mgx,webpage,MGX platform for modular server design,NVIDIA,2026,NVIDIA,,https://www.nvidia.com/en-us/data-center/products/mgx/,AI-factory platform context,,web landing page
2,blake_2025_nvidia_800vdc,blog,NVIDIA 800 VDC architecture will power the next generation of AI factories,"Blake; Hsu; Goldwasser; Petty; Huntington",2025,NVIDIA Technical Blog,,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,800 VDC roadmap,,web article
3,texas_instruments_2026_800vdc,press_release,TI unveils complete 800 VDC power architecture for future generation AI data centers with NVIDIA,Texas Instruments,2026,Texas Instruments,,https://www.ti.com/about-ti/newsroom/news-releases/2026/2026-03-16-ti-unveils-complete-800-vdc-power-architecture-for-future-generation-ai-data-centers-with-nvidia.html,800 VDC supplier roadmap,,web article
4,rothmund_2019_dc_transformer,journal_article,99% efficient 10 kV SiC-based 7 kV/400 V DC transformer for future data centers,"Rothmund; Guillod; Bortis; Kolar",2019,IEEE Journal of Emerging and Selected Topics in Power Electronics,10.1109/JESTPE.2018.2886139,https://doi.org/10.1109/JESTPE.2018.2886139,high-efficiency DC/DC device evidence,downloads/ref04_rothmund_dc_transformer_future_data_centers_2019.pdf,author-provided PDF for review; DOI retained
5,zheng_2021_ms4t,journal_article,SiC-based 5-kV universal modular soft-switching solid-state transformer (M-S4T) for medium-voltage DC microgrids and distribution grids,Zheng et al.,2021,IEEE Transactions on Power Electronics,10.1109/TPEL.2021.3066908,https://doi.org/10.1109/TPEL.2021.3066908,medium-voltage SST evidence,downloads/ref05_zheng_ms4t_mvdc_microgrids_2021.pdf,author-provided PDF for review; DOI retained
6,samanta_2020_mv_data_center_converter,conference_paper,Medium voltage supply directly to data-center-servers using SiC-based single-stage converter with 20 kW experimental results,"Samanta; Wong; Bhattacharya; Pahl",2020,IEEE ECCE,10.1109/ECCE44975.2020.9235701,https://doi.org/10.1109/ECCE44975.2020.9235701,server-level high-voltage DC conversion evidence,downloads/ref06_samanta_mv_data_center_converter_2020.pdf,author-provided PDF for review; DOI retained
7,choukse_2025_power_stabilization,preprint,Power stabilization for AI training datacenters,Choukse et al.,2025,arXiv,,https://arxiv.org/abs/2508.14318,AI training load dynamics,downloads/ref07_choukse_power_stabilization_ai_training_datacenters.pdf,open arXiv PDF
8,ieee_519_2022,standard,IEEE Std 519-2022: IEEE recommended practice and requirements for harmonic control in electric power systems,IEEE Standards Association,2022,IEEE Standards Association,,https://standards.ieee.org/ieee/519/10422/,harmonic planning context,downloads/ref08_ieee_519_2022_redline.pdf,Stanford-authorized IEEE Xplore redline PDF for local review; restrictions apply
9,caiso_2024_san_jose_tpp,pdf_report,San Jose Area Transmission Plan: decision on modifications to the 2021-2022 transmission plan study,California ISO,2024,California ISO,,https://www.caiso.com/documents/decision-on-modifications-to-the-2021-2022-transmission-plan-study-nov-2024.pdf,San Jose load-pocket planning data,downloads/ref09_caiso_san_jose_transmission_plan_decision_2024.pdf,public PDF
10,caiso_2025_tpp_notice,webpage,2024-2025 Transmission Planning Process: Board Approved Transmission Plan Posted,California ISO,2025,California ISO,,https://www.caiso.com/notices/2024-2025-transmission-planning-process-board-approved-transmission-plan-posted,planning-document notice,,web landing page
11,lspower_2023_san_jose_hvdc,press_release,LS Power selected by the California ISO for San Jose area HVDC projects,LS Power,2023,LS Power,,https://www.lspower.com/news/ls-power-selected-by-the-california-iso-for-san-jose-area-hvdc-projects/,project context,,web article
12,lspowergrid_2025_santa_clara_fact_sheet,pdf_report,Power Santa Clara Valley HVDC Project fact sheet,LS Power Grid,2025,LS Power Grid,,https://www.lspowergrid.com/wp-content/uploads/Power-Santa-Clara-Valley-2-Pager.pdf,project fact sheet,downloads/ref12_lspower_power_santa_clara_valley_fact_sheet.pdf,public PDF
13,iec_61000_3_3_2013,standard,IEC 61000-3-3: Electromagnetic compatibility - limits for voltage changes voltage fluctuations and flicker,IEC,2013,IEC,,https://webstore.iec.ch/en/publication/4150,voltage fluctuation context,,IEC standard not stored locally; related IEEE TIM compliance-measurement paper saved as downloads/ref13_support_clarkson_iec61000_3_3_impedance_measurement_2011.pdf
